precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
33,19,21,28,25,16,27,30,13,18,15,21,27,19,19,19,21,14,9,17,11,12,15,12
34,40,27,38,37,40,27,23,24,19,17,22,18,20,25,13,23,10,14,27,22,16,13,18
40,36,50,47,44,36,28,39,24,29,24,23,23,26,25,29,37,38,44,37,26,30,29,24
41,34,19,18,31,21,21,18,18,16,12,20,18,12,17,18,22,22,20,43,30,32,31,21
42,40,44,47,32,37,33,20,23,23,24,20,28,30,24,30,33,37,31,33,24,28,39,30
43,67,67,79,61,49,36,37,37,32,47,35,22,38,26,36,44,43,33,45,46,36,44,37
44,62,65,89,82,50,40,31,40,49,32,33,34,33,30,33,34,29,32,44,42,35,37,29
45,22,17,20,22,12,18,13,12,14,15,19,13,17,9,11,7,17,10,13,19,16,14,12
46,48,71,71,70,56,45,46,43,29,24,23,32,30,28,32,25,31,39,28,40,23,26,22
47,57,47,64,54,39,49,42,35,30,23,37,36,30,36,35,34,39,48,44,59,44,41,39
48,53,40,39,40,31,31,27,28,30,25,20,19,21,24,22,38,22,26,29,39,29,36,22
49,18,19,26,25,18,21,19,19,19,11,23,18,17,15,18,30,24,13,25,22,17,22,12
50,19,23,20,23,24,16,16,7,9,8,8,9,10,2,18,17,9,8,15,15,12,17,15
52,51,56,50,47,29,36,28,32,28,24,27,22,24,26,27,30,28,27,30,34,25,32,29
60,26,28,29,14,12,26,13,8,15,10,18,12,23,18,21,25,16,16,20,18,22,11,10
61,19,17,24,19,9,20,12,10,5,10,5,11,10,19,12,12,11,11,17,19,16,8,7
62,22,17,14,10,21,11,7,12,10,6,13,12,8,16,11,10,12,14,20,20,13,20,13
63,12,19,15,19,12,20,13,7,7,12,17,16,15,13,6,2,8,12,14,16,11,16,7
66,19,19,20,9,13,17,8,10,10,14,11,8,7,7,8,20,15,11,20,23,16,8,13
67,71,53,60,48,49,44,28,22,21,24,31,45,32,50,41,41,44,39,43,51,40,28,22
68,13,18,11,9,11,11,8,7,9,6,6,9,16,4,13,6,9,13,16,14,16,14,9
69,28,36,39,28,19,25,9,16,18,16,15,16,8,13,14,20,17,17,19,25,26,16,12
70,51,62,48,51,42,27,38,27,33,11,24,21,15,25,22,18,25,24,27,32,32,24,25
71,30,38,43,32,26,26,18,17,13,23,13,20,16,17,19,21,13,22,26,20,20,24,10
72,28,33,27,22,26,24,21,10,7,11,20,25,23,22,15,20,24,21,32,30,17,28,16
73,56,56,33,47,40,43,35,33,29,37,35,31,35,42,34,34,33,32,48,48,30,33,25
75,102,92,106,100,86,66,58,44,57,50,61,54,75,61,70,56,56,65,70,93,62,54,39
76,13,5,10,9,9,4,9,7,3,1,2,7,8,7,5,4,7,6,9,2,5,3,5
77,58,46,53,47,39,20,21,17,19,15,23,23,19,24,22,21,22,24,32,20,19,29,18
78,11,10,14,14,6,7,3,7,5,6,5,8,3,7,5,11,10,9,12,11,9,11,8
79,53,43,50,42,57,39,35,29,23,24,29,34,18,26,26,27,22,28,27,15,23,14,22
81,32,29,38,35,29,18,23,24,10,11,24,16,21,17,29,12,20,22,15,24,21,12,16
83,48,56,42,44,48,45,35,34,29,36,36,29,40,29,24,33,29,28,24,31,23,29,28
84,7,6,18,4,5,12,6,5,4,3,2,3,5,4,6,10,4,7,18,3,5,10,9
88,20,14,26,25,11,9,6,11,7,4,8,14,10,11,3,11,11,9,12,18,12,7,7
90,24,19,37,23,27,21,24,14,10,8,9,23,11,17,15,19,22,20,16,20,17,20,14
94,5,6,6,9,8,5,3,6,3,2,2,3,12,16,10,8,13,11,6,8,10,12,11
100,9,10,11,10,5,7,14,6,7,5,4,5,4,3,7,10,5,9,5,16,5,12,9
101,37,17,27,23,15,28,22,19,12,21,16,17,15,19,13,16,19,25,26,25,15,22,14
102,28,27,31,33,30,23,24,24,27,23,14,23,29,24,15,17,21,19,24,26,23,22,16
107,18,19,14,15,22,23,19,17,12,12,14,13,10,7,24,8,19,22,23,28,20,20,17
108,21,17,10,24,12,27,13,16,9,12,17,11,16,15,15,17,16,11,12,20,11,15,16
109,25,23,17,20,17,34,20,18,17,13,17,19,11,31,21,21,15,22,30,37,30,16,27
110,31,46,39,39,39,44,44,44,34,32,28,22,25,32,28,26,30,25,43,34,29,40,28
111,5,3,6,4,9,1,4,8,1,4,6,6,6,3,1,6,4,3,7,7,3,7,2
112,8,3,6,1,8,11,8,6,3,6,4,11,7,5,7,6,8,7,18,16,8,10,9
113,59,53,46,41,50,44,31,36,36,29,25,29,29,18,18,18,23,25,28,30,34,23,30
114,25,34,35,35,40,38,41,19,21,22,16,26,41,29,23,19,31,29,42,34,22,36,20
115,30,26,34,37,40,58,38,36,37,34,33,41,41,35,31,33,40,32,41,42,29,31,28
120,41,30,31,31,31,43,40,37,50,44,43,42,39,31,29,21,20,32,34,23,24,22,10
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,13,19,11,26,17,16,19,8
122,19,6,18,16,10,14,14,8,11,9,18,11,17,12,4,3,6,6,12,10,7,6,7
123,3,2,4,4,3,3,0,2,5,4,2,1,5,5,0,3,4,3,2,4,4,2,1
DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,0,0,1,1,1,NA
