precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
109,936,964,1086,867,568,482,466,544,452,417,486,397,438,471,464,324,319,276,324,343,441,384,383
110,591,480,636,542,535,508,441,434,334,316,293,316,315,279,332,213,227,194,136,125,196,183,121
111,424,338,478,502,381,281,382,317,284,242,252,204,244,232,219,198,179,167,163,193,239,266,194
112,453,364,374,300,397,226,221,267,186,177,135,150,143,173,114,114,81,91,69,51,127,94,82
113,528,465,387,309,318,356,387,413,445,325,421,494,450,396,334,256,198,128,153,156,160,128,95
114,950,872,752,600,551,539,429,448,525,466,482,466,473,383,447,312,251,215,171,196,273,228,206
115,505,506,559,517,492,503,427,408,371,298,296,322,337,306,338,235,246,254,195,125,167,151,111
120,620,569,568,465,442,438,369,373,349,306,306,370,401,280,205,187,164,154,152,91,105,61,82
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,134,166,137,112,95,94,91,77,64
122,292,242,306,222,258,248,194,293,289,233,203,259,254,215,185,134,141,103,89,64,92,69,59
123,162,140,153,112,114,138,130,140,163,102,111,101,88,92,91,80,61,46,24,32,41,26,25
DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
