precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
90,563,529,488,453,438,430,403,424,432,331,380,385,387,303,253,273,228,197,198,179,167,143,134
94,211,195,172,159,154,162,148,158,131,119,132,128,134,117,93,76,86,85,63,68,71,83,101
100,97,66,72,52,45,76,79,74,75,50,62,86,54,61,59,66,54,52,38,40,52,21,40
101,329,247,172,213,140,132,166,145,154,129,121,128,143,148,145,169,154,127,151,118,98,105,68
102,552,473,448,349,312,361,335,323,338,286,272,269,326,311,234,238,173,141,101,114,129,125,156
107,373,374,388,379,323,385,322,291,301,260,256,237,243,242,192,212,176,170,138,158,153,140,137
108,423,307,351,275,271,239,178,206,211,163,195,155,191,160,157,120,103,100,90,100,115,126,143
109,431,379,386,398,305,380,261,235,278,276,211,252,267,243,178,190,213,195,202,209,199,145,209
110,645,616,574,571,497,487,439,400,391,332,360,332,351,341,282,276,260,307,263,273,270,257,295
111,141,156,101,99,106,121,136,82,97,87,81,79,73,73,44,55,46,39,35,25,25,29,64
112,230,217,174,177,198,198,203,114,139,116,119,105,102,76,57,44,50,40,41,40,54,60,66
113,398,359,334,313,336,310,392,454,402,368,369,416,354,376,259,232,192,190,156,156,149,161,101
114,612,590,535,487,472,436,450,321,334,313,332,331,321,247,262,224,212,211,193,184,191,205,179
115,544,442,519,395,447,426,425,341,379,347,345,347,338,358,338,339,349,344,248,246,219,250,216
120,311,267,265,263,250,290,323,299,319,256,282,247,289,318,196,227,200,139,147,94,103,85,81
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,151,138,120,111,123,81,79,66,51
122,126,75,81,86,128,128,103,131,115,108,116,112,126,82,57,62,82,62,43,40,49,44,42
123,35,30,29,33,29,44,29,28,37,35,22,37,29,23,15,29,19,13,11,12,14,11,16
DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,4,1,1,0,3,NA
