precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
88,9,11,6,6,5,1,11,10,4,3,6,2,4,6,2,8,2,1,1,1,6,3,0
90,12,12,7,7,2,7,5,3,6,7,2,5,5,6,2,6,3,7,4,5,3,5,0
94,2,5,3,5,4,0,1,0,1,3,0,1,0,1,1,2,1,2,1,2,0,0,1
100,5,1,2,4,1,2,2,1,5,2,1,1,2,3,1,3,0,1,2,2,5,1,1
101,9,6,6,12,9,6,7,4,10,8,6,8,7,3,5,5,2,3,6,2,10,11,7
102,7,2,5,5,1,5,10,1,8,4,5,6,7,7,3,6,5,6,2,5,5,5,4
107,3,4,1,4,0,7,3,3,4,3,4,3,2,1,1,3,3,0,5,2,0,3,0
108,2,3,8,3,2,8,2,1,3,3,2,2,4,4,2,2,3,0,2,2,2,2,1
109,12,5,6,4,12,3,6,6,4,3,7,8,4,1,6,3,3,1,6,3,3,6,4
110,5,9,4,8,7,8,6,4,3,6,4,2,8,6,8,1,2,5,2,2,7,4,5
111,4,1,0,2,1,0,0,1,0,1,0,2,1,0,0,0,2,1,0,1,1,0,0
112,0,0,1,0,4,2,0,3,1,2,1,2,0,0,0,1,1,0,0,0,0,0,2
113,12,10,14,17,17,13,6,13,15,12,19,17,16,7,9,9,9,9,5,15,8,13,7
114,13,5,5,8,8,8,8,5,4,4,9,5,6,4,2,6,2,3,10,2,7,10,3
115,5,4,9,7,5,3,5,5,4,8,3,4,5,3,6,1,0,1,3,11,11,6,3
120,20,7,9,8,6,9,16,7,13,12,13,12,7,4,7,11,6,5,10,3,12,8,5
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,9,5,0,2,7,3,0
122,3,4,3,0,1,5,2,3,7,3,2,2,2,2,3,2,4,3,0,6,1,3,0
123,2,2,0,1,1,1,2,2,1,1,2,2,1,0,1,1,2,0,0,3,0,1,1
DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
