precinct,total00,total01,total02,total03,total04,total05,total06,total07,total08,total09,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,yeartodate2022
62,612,485,442,380,283,311,266,217,165,160,159,158,131,110,99,112,104,77,67,50,95,119,110
63,704,490,460,390,326,312,271,207,188,174,159,126,106,92,107,101,74,66,62,66,110,84,89
66,560,459,378,325,294,273,206,158,146,154,135,130,102,140,97,90,89,81,79,69,125,84,86
67,829,702,594,522,538,466,389,383,305,272,274,277,209,169,166,164,119,129,98,127,179,233,195
68,523,409,358,333,317,294,261,194,184,156,147,122,113,119,111,109,101,94,86,78,135,90,81
69,577,438,457,418,333,294,206,189,205,201,113,127,78,88,98,101,95,75,61,72,96,96,112
70,882,621,534,518,460,323,267,213,202,209,184,123,118,109,92,97,83,79,75,56,155,129,88
71,457,444,343,273,312,306,272,223,159,154,150,122,126,80,81,96,78,77,68,89,122,120,104
72,404,402,390,386,318,288,223,166,194,147,119,99,113,127,102,106,112,108,77,77,98,90,117
73,362,292,264,262,262,184,176,198,163,127,148,129,155,131,100,106,99,84,77,75,99,176,142
75,952,838,713,752,662,557,488,388,406,336,322,320,283,291,312,264,225,219,207,296,426,524,362
76,149,108,94,119,113,110,94,52,61,60,59,38,48,48,51,32,32,21,28,23,45,64,42
77,300,345,268,241,196,153,165,173,143,142,129,105,119,111,138,102,84,64,72,69,103,104,100
78,335,230,206,235,196,175,133,100,86,99,92,75,49,67,70,60,51,72,68,40,74,71,88
79,328,341,298,271,256,172,168,194,168,116,120,91,100,106,132,95,98,84,72,77,85,93,70
81,242,201,187,196,143,139,152,121,106,116,83,85,96,79,115,78,60,55,48,74,115,100,107
83,392,327,317,319,267,271,263,201,211,157,176,118,180,152,134,131,115,110,92,113,176,173,194
84,190,155,138,114,100,106,71,53,58,55,52,45,23,38,42,51,34,29,31,28,51,45,45
88,371,327,265,227,183,161,120,116,102,88,101,80,82,82,100,87,57,42,48,35,70,58,72
90,333,349,416,353,348,311,260,195,166,138,165,189,125,142,160,149,114,124,90,72,135,155,133
94,258,262,296,266,246,209,210,132,145,122,147,114,91,111,113,120,84,66,62,97,143,104,138
100,71,69,69,45,51,40,34,37,29,22,27,21,30,20,35,23,18,21,17,42,33,25,50
101,249,159,150,91,83,93,65,68,62,67,78,46,55,61,73,36,51,27,31,39,48,46,47
102,970,808,786,622,521,447,413,322,339,282,290,254,232,252,256,234,175,124,99,70,152,237,184
107,916,800,633,629,458,414,396,282,227,216,232,214,173,149,146,153,141,83,101,87,162,157,189
108,771,711,541,571,489,367,315,261,211,190,198,181,136,166,143,149,117,89,114,88,167,182,164
109,1223,1079,992,750,660,480,479,313,379,290,290,288,214,210,221,164,160,138,126,91,159,198,178
110,676,498,473,382,350,304,242,163,169,146,145,122,113,105,109,105,97,86,102,81,138,186,160
111,618,635,475,317,280,216,172,155,162,169,135,107,97,79,97,72,62,59,37,47,79,71,83
112,685,638,474,284,273,276,226,163,141,97,101,103,80,60,102,89,51,43,37,36,68,69,73
113,782,526,557,467,407,404,334,318,326,261,264,241,269,162,220,139,98,131,138,135,196,203,183
114,1059,873,848,555,599,489,403,327,341,228,263,188,193,205,188,187,191,105,132,136,245,240,253
115,678,628,564,427,429,375,308,271,258,236,241,191,173,125,160,140,177,156,149,128,204,210,236
120,476,328,320,243,246,228,247,218,209,214,192,169,166,94,73,79,94,88,61,59,73,78,82
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,60,74,63,76,45,56,55,57,73
122,667,532,386,288,257,230,265,222,170,158,118,115,107,62,57,44,66,47,47,38,72,83,94
123,266,193,143,131,95,96,114,87,81,51,39,48,31,40,30,20,23,22,31,25,45,65,85
DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA
